police_station,folder,hobli_count,village_count,ward_count
Cowlbazar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Cowlbazar_PS,1,3,19
Bruceept PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bruceept_PS,1,2,19
Gandhinagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gandhinagar_PS,1,3,18
Moka PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Moka_PS,2,32,0
P.D. Halli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\P.D._Halli_PS,2,26,0
Siruguppa PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Siruguppa_PS,3,37,31
Hatcholli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hatcholli_PS,2,32,0
T.Kota PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\T.Kota_PS,3,21,20
Sirigere PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sirigere_PS,6,40,1
Kurugodu PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kurugodu_PS,5,43,26
Kuduthini PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kuduthini_PS,7,24,24
Hospet Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hospet_Town_PS,3,10,15
Chitwadigi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chitwadigi_PS,1,9,8
Hospet Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hospet_Rural_PS,5,36,23
Kampli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kampli_PS,10,65,24
Kamalapur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kamalapur_PS,3,29,19
H.B. Halli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\H.B._Halli_PS,5,42,23
TB Halli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\TB_Halli_PS,5,31,0
Hadagali PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hadagali_PS,4,33,23
Hirehadagali PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hirehadagali_PS,2,55,0
Ittigi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ittigi_PS,3,22,0
Sandur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sandur_PS,5,54,23
Torangal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Torangal_PS,2,59,12
Gadiganur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gadiganur_PS,3,41,23
MM Halli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\MM_Halli_PS,5,33,18
Kudligi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kudligi_PS,5,43,20
Gudekota PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gudekota_PS,5,72,0
Kottur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kottur_PS,2,40,20
Hosahalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hosahalli_PS,4,63,0
Ballari Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Ballari_Rural_PS,2,46,11
Gangavathi Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gangavathi_Rural_PS,9,92,5
Kanakagiri PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kanakagiri_PS,9,98,18
Karatagi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Karatagi_PS,7,50,24
Gangavathi Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gangavathi_Town_PS,3,10,35
Hanumasagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hanumasagar_PS,6,102,0
Kushtagi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kushtagi_PS,3,100,23
Tavaregera PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Tavaregera_PS,7,77,18
Alwandi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Alwandi_PS,5,68,2
Koppal Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Koppal_Rural_PS,8,121,12
Munirabad PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Munirabad_PS,7,56,0
Koppal Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Koppal_Town_PS,1,6,50
Kuknoor PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kuknoor_PS,6,77,19
Yelburga PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Yelburga_PS,3,75,16
Devadurga PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Devadurga_PS,6,98,27
Gabbur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gabbur_PS,7,94,1
Jalhalli PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Jalhalli_PS,7,83,0
Hutti PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Hutti_PS,7,60,22
Lingasugur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Lingasugur_PS,6,78,25
Maski PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Maski_PS,10,75,28
Mudgal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Mudgal_PS,7,94,24
Netajinagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Netajinagar_PS,1,1,5
Sadar Bazar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sadar_Bazar_PS,1,4,21
Raichur Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Raichur_Rural_PS,7,75,17
Shakti Nagar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shakti_Nagar_PS,1,7,0
Yapaladinni PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Yapaladinni_PS,3,40,0
Raichur APMC Yard PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Raichur_APMC_Yard_PS,1,2,18
Raichur West PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Raichur_West_PS,1,12,11
Idapanur PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Idapanur_PS,2,39,0
Yeregera PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Yeregera_PS,6,77,7
Kowthal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kowthal_PS,7,86,16
Manvi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Manvi_PS,10,91,27
Sirwar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sirwar_PS,8,80,20
Balagaor PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Balagaor_PS,12,96,13
Sindanur Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sindanur_Rural_PS,19,88,11
Sindhanur Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Sindhanur_Town_PS,8,25,31
Turvihal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Turvihal_PS,13,85,17
Bagewadi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Bagewadi_PS,2,29,2
Belagavi Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Belagavi_Rural_PS,2,53,4
Kakati PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kakati_PS,3,48,3
Marihal PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Marihal_PS,2,33,2
Belagavi Camp PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Belagavi_Camp_PS,1,3,12
Khadebazar PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Khadebazar_PS,1,1,15
Thilakwadi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Thilakwadi_PS,1,9,16
Udyambag PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Udyambag_PS,1,6,7
Kangarali KH APMC Yard PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Kangarali_KH_APMC_Yard_PS,2,4,10
Malamaruthi PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Malamaruthi_PS,3,10,20
Belagavi Market PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Belagavi_Market_PS,1,3,20
Shahapura PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Shahapura_PS,1,12,18
Chikkaballapura Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chikkaballapura_Town_PS,2,20,31
Chikkaballapura Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Chikkaballapura_Rural_PS,5,174,16
Nandi Girighama PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Nandi_Girighama_PS,4,90,2
Gowribidanur Town PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gowribidanur_Town_PS,1,19,31
Gowribidanur Rural PS,H:\KGIS_Police_Admin_Areas\Police_Stations_Hierarchy_20260805_172659\Police_Stations\Gowribidanur_Rural_PS,7,163,9
