timestamp,district,file_type,status,filename,output_folder,source_url,details
2026-07-23T17:02:52,Bagalkote,PDF File,SUCCESS,02 Bagalkote.zip,E:\KSRSAC files\Village Boundaries\Bagalkote\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/02_Bagalkote.zip,Extracted 1 file(s)
2026-07-23T17:02:58,Bagalkote,Shape File,SUCCESS,02 Bagalkote.zip,E:\KSRSAC files\Village Boundaries\Bagalkote\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/02_Bagalkote.zip,Extracted 7 file(s)
2026-07-23T17:03:03,Bagalkote,KML File,SUCCESS,02 Bagalkote.zip,E:\KSRSAC files\Village Boundaries\Bagalkote\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/02_Bagalkote.zip,Extracted 1 file(s)
2026-07-23T17:03:22,Ballari,PDF File,SUCCESS,12 Ballari.zip,E:\KSRSAC files\Village Boundaries\Ballari\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/12_Ballari.zip,Extracted 1 file(s)
2026-07-23T17:03:27,Ballari,Shape File,SUCCESS,12 Ballari.zip,E:\KSRSAC files\Village Boundaries\Ballari\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/12_Ballari.zip,Extracted 7 file(s)
2026-07-23T17:03:32,Ballari,KML File,SUCCESS,12 Ballari.zip,E:\KSRSAC files\Village Boundaries\Ballari\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/12_Ballari.zip,Extracted 1 file(s)
2026-07-23T17:03:37,Belagavi,PDF File,SUCCESS,01 Belagavi.zip,E:\KSRSAC files\Village Boundaries\Belagavi\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/01_Belagavi.zip,Extracted 1 file(s)
2026-07-23T17:03:43,Belagavi,Shape File,SUCCESS,01 Belagavi.zip,E:\KSRSAC files\Village Boundaries\Belagavi\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/01_Belagavi.zip,Extracted 7 file(s)
2026-07-23T17:04:02,Belagavi,KML File,SUCCESS,01 Belagavi.zip,E:\KSRSAC files\Village Boundaries\Belagavi\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/01_Belagavi.zip,Extracted 1 file(s)
2026-07-23T17:04:07,Bengaluru South,PDF File,SUCCESS,29 Bengaluru South.zip,E:\KSRSAC files\Village Boundaries\Bengaluru South\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/29_Bengaluru%20South.zip,Extracted 1 file(s)
2026-07-23T17:04:13,Bengaluru South,Shape File,SUCCESS,29 Bengaluru South.zip,E:\KSRSAC files\Village Boundaries\Bengaluru South\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/29_Bengaluru%20South.zip,Extracted 4 file(s)
2026-07-23T17:04:18,Bengaluru South,KML File,SUCCESS,29 Bengaluru South.zip,E:\KSRSAC files\Village Boundaries\Bengaluru South\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/29_Bengaluru%20South.zip,Extracted 1 file(s)
2026-07-23T17:04:23,Bengaluru_Rural,PDF File,SUCCESS,21 Bengaluru Rural.zip,E:\KSRSAC files\Village Boundaries\Bengaluru Rural\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/21_Bengaluru_Rural.zip,Extracted 1 file(s)
2026-07-23T17:04:42,Bengaluru_Rural,Shape File,SUCCESS,21 Bengaluru Rural.zip,E:\KSRSAC files\Village Boundaries\Bengaluru Rural\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/21_Bengaluru_Rural.zip,Extracted 7 file(s)
2026-07-23T17:04:47,Bengaluru_Rural,KML File,SUCCESS,21 Bengaluru Rural.zip,E:\KSRSAC files\Village Boundaries\Bengaluru Rural\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/21_Bengaluru_Rural.zip,Extracted 1 file(s)
2026-07-23T17:04:52,Bengaluru_Urban,PDF File,SUCCESS,20 Bengaluru Urban.zip,E:\KSRSAC files\Village Boundaries\Bengaluru Urban\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/20_Bengaluru_Urban.zip,Extracted 1 file(s)
2026-07-23T17:04:57,Bengaluru_Urban,Shape File,SUCCESS,20 Bengaluru Urban.zip,E:\KSRSAC files\Village Boundaries\Bengaluru Urban\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/20_Bengaluru_Urban.zip,Extracted 7 file(s)
2026-07-23T17:05:02,Bengaluru_Urban,KML File,SUCCESS,20 Bengaluru Urban.zip,E:\KSRSAC files\Village Boundaries\Bengaluru Urban\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/20_Bengaluru_Urban.zip,Extracted 1 file(s)
2026-07-23T17:05:21,Bidar,PDF File,SUCCESS,05 Bidar.zip,E:\KSRSAC files\Village Boundaries\Bidar\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/05_Bidar.zip,Extracted 1 file(s)
2026-07-23T17:05:26,Bidar,Shape File,SUCCESS,05 Bidar.zip,E:\KSRSAC files\Village Boundaries\Bidar\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/05_Bidar.zip,Extracted 7 file(s)
2026-07-23T17:05:32,Bidar,KML File,SUCCESS,05 Bidar.zip,E:\KSRSAC files\Village Boundaries\Bidar\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/05_Bidar.zip,Extracted 1 file(s)
2026-07-23T17:05:36,Chamarajanagara,PDF File,SUCCESS,27 Chamarajanagara.zip,E:\KSRSAC files\Village Boundaries\Chamarajanagara\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/27_Chamarajanagara.zip,Extracted 1 file(s)
2026-07-23T17:05:41,Chamarajanagara,Shape File,SUCCESS,27 Chamarajanagara.zip,E:\KSRSAC files\Village Boundaries\Chamarajanagara\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/27_Chamarajanagara.zip,Extracted 7 file(s)
2026-07-23T17:06:00,Chamarajanagara,KML File,SUCCESS,27 Chamarajanagara.zip,E:\KSRSAC files\Village Boundaries\Chamarajanagara\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/27_Chamarajanagara.zip,Extracted 1 file(s)
2026-07-23T17:06:05,Chikkaballapura,PDF File,SUCCESS,28 Chikkaballapura.zip,E:\KSRSAC files\Village Boundaries\Chikkaballapura\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/28_Chikkaballapura.zip,Extracted 1 file(s)
2026-07-23T17:06:10,Chikkaballapura,Shape File,SUCCESS,28 Chikkaballapura.zip,E:\KSRSAC files\Village Boundaries\Chikkaballapura\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/28_Chikkaballapura.zip,Extracted 7 file(s)
2026-07-23T17:06:16,Chikkaballapura,KML File,SUCCESS,28 Chikkaballapura.zip,E:\KSRSAC files\Village Boundaries\Chikkaballapura\KML Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/KML/28_Chikkaballapura.zip,Extracted 1 file(s)
2026-07-23T17:06:20,Chikkamagaluru,PDF File,SUCCESS,17 Chikkamagaluru.zip,E:\KSRSAC files\Village Boundaries\Chikkamagaluru\PDF Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/PDF/17_Chikkamagaluru.zip,Extracted 1 file(s)
2026-07-23T17:06:40,Chikkamagaluru,Shape File,SUCCESS,17 Chikkamagaluru.zip,E:\KSRSAC files\Village Boundaries\Chikkamagaluru\Shape Files,https://kgis.ksrsac.in/kgisdocuments/PDF_KML_SHP/Village/Shapefiles/17_Chikkamagaluru.zip,Extracted 7 file(s)
